repository,repo_url,file_path,line_number,code_snippet,explanation
oywtece/dstn,https://github.com/oywtece/dstn,dnn.py,130,"    128: for i in range(0, n_layer):
    129:     out_dim = layer_dim[i]
>>> 130:     weight = tf.Variable(tf.random_normal(shape=[in_dim, out_dim], stddev=np.sqrt(2.0/(in_dim+out_dim))))
    131:     bias = tf.Variable(tf.constant(0.0, shape=[out_dim]))
    132:     # output layer, linear activation",TF graph-building op inside loop (line 128) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
oywtece/dstn,https://github.com/oywtece/dstn,dnn.py,131,"    129:     out_dim = layer_dim[i]
    130:     weight = tf.Variable(tf.random_normal(shape=[in_dim, out_dim], stddev=np.sqrt(2.0/(in_dim+out_dim))))
>>> 131:     bias = tf.Variable(tf.constant(0.0, shape=[out_dim]))
    132:     # output layer, linear activation
    133:     if i == n_layer - 1:",TF graph-building op inside loop (line 128) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
oywtece/dstn,https://github.com/oywtece/dstn,dnn.py,136,"    134:         cur_layer = tf.matmul(cur_layer, weight) + bias
    135:     else:
>>> 136:         cur_layer = tf.nn.relu(tf.matmul(cur_layer, weight) + bias)
    137:         cur_layer = tf.nn.dropout(cur_layer, keep_prob)
    138:     in_dim = layer_dim[i]",TF graph-building op inside loop (line 128) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
oywtece/dstn,https://github.com/oywtece/dstn,dnn.py,137,"    135:     else:
    136:         cur_layer = tf.nn.relu(tf.matmul(cur_layer, weight) + bias)
>>> 137:         cur_layer = tf.nn.dropout(cur_layer, keep_prob)
    138:     in_dim = layer_dim[i]
    139: ",TF graph-building op inside loop (line 128) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
Cospel/rbm-ae-tf,https://github.com/Cospel/rbm-ae-tf,au.py,25,"    23: 
    24:             # Initialize W using xavier initialization
>>> 25:             W = tf.Variable(xavier_init(input_dim, dim, transfer_function), name=layer_names[i][0])
    26: 
    27:             # Initialize b to zero",TF graph-building op inside loop (line 20) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
Cospel/rbm-ae-tf,https://github.com/Cospel/rbm-ae-tf,au.py,28,"    26: 
    27:             # Initialize b to zero
>>> 28:             b = tf.Variable(tf.zeros([dim]), name=layer_names[i][1])
    29: 
    30:             # We are going to use tied-weights so store the W matrix for later reference.",TF graph-building op inside loop (line 20) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
Cospel/rbm-ae-tf,https://github.com/Cospel/rbm-ae-tf,au.py,55,"    53:                 W = tf.identity(tf.transpose(self.encoding_matrices[i]))
    54:             else:
>>> 55:                 W = tf.Variable(xavier_init(self.encoding_matrices[i].get_shape()[1].value,self.encoding_matrices[i].get_shape()[0].value, transfer_function))
    56:             b = tf.Variable(tf.zeros([dim]))
    57:             self.decoding_matrices.append(W)",TF graph-building op inside loop (line 49) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
Cospel/rbm-ae-tf,https://github.com/Cospel/rbm-ae-tf,au.py,56,"    54:             else:
    55:                 W = tf.Variable(xavier_init(self.encoding_matrices[i].get_shape()[1].value,self.encoding_matrices[i].get_shape()[0].value, transfer_function))
>>> 56:             b = tf.Variable(tf.zeros([dim]))
    57:             self.decoding_matrices.append(W)
    58:             self.decoding_biases.append(b)",TF graph-building op inside loop (line 49) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
jiamings/fast-weights,https://github.com/jiamings/fast-weights,fw.py,44,"    42:         la = []
    43:         for t in range(0, step_num):
>>> 44:             z = tf.nn.relu(tf.matmul(
    45:                 tf.nn.relu(tf.matmul(self.x[:, t, :], self.w1) + self.b1),
    46:                 self.w2) + self.b2",TF graph-building op inside loop (line 43) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
jiamings/fast-weights,https://github.com/jiamings/fast-weights,fw.py,45,"    43:         for t in range(0, step_num):
    44:             z = tf.nn.relu(tf.matmul(
>>> 45:                 tf.nn.relu(tf.matmul(self.x[:, t, :], self.w1) + self.b1),
    46:                 self.w2) + self.b2
    47:                            )",TF graph-building op inside loop (line 43) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
jiamings/fast-weights,https://github.com/jiamings/fast-weights,fw.py,48,"    46:                 self.w2) + self.b2
    47:                            )
>>> 48:             h = tf.nn.relu(
    49:                 tf.matmul(h, self.w) + tf.matmul(z, self.c)
    50:             )",TF graph-building op inside loop (line 43) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
jiamings/fast-weights,https://github.com/jiamings/fast-weights,fw.py,62,"    60:                 mu = tf.reduce_mean(hs, reduction_indices=0)
    61:                 sig = tf.sqrt(tf.reduce_mean(tf.square(hs - mu), reduction_indices=0))
>>> 62:                 hs = tf.nn.relu(tf.div(tf.mul(self.g, (hs - mu)), sig) + self.b)
    63:             h = tf.reshape(hs, tf.pack([batch_size, hidden_num]))
    64:         h = tf.nn.relu(tf.matmul(h, self.w3) + self.b3)",TF graph-building op inside loop (line 56) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
Yingjun-Du/VID,https://github.com/Yingjun-Du/VID,DDN.py,169,"    167:         with tf.variable_scope('conv_%s' % (i * 2 + 2)):
    168:             kernel = create_kernel(name=('weights_%s' % (i * 2 + 2)), shape=[3, 3, 16, 16])
>>> 169:             biases = tf.Variable(tf.constant(0.0, shape=[16], dtype=tf.float32), trainable=True,
    170:                                  name=('biases_%s' % (i * 2 + 2)))
    171: ",TF graph-building op inside loop (line 166) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
Yingjun-Du/VID,https://github.com/Yingjun-Du/VID,DDN.py,172,"    170:                                  name=('biases_%s' % (i * 2 + 2)))
    171: 
>>> 172:             conv_tmp1 = tf.nn.conv2d(conv_shortcut, kernel, [1, 1, 1, 1], padding='SAME')
    173:             bias_tmp1 = tf.nn.bias_add(conv_tmp1, biases)
    174: ",TF graph-building op inside loop (line 166) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
Yingjun-Du/VID,https://github.com/Yingjun-Du/VID,DDN.py,173,"    171: 
    172:             conv_tmp1 = tf.nn.conv2d(conv_shortcut, kernel, [1, 1, 1, 1], padding='SAME')
>>> 173:             bias_tmp1 = tf.nn.bias_add(conv_tmp1, biases)
    174: 
    175:             bias_tmp1 = bn(bias_tmp1, c)",TF graph-building op inside loop (line 166) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
Yingjun-Du/VID,https://github.com/Yingjun-Du/VID,DDN.py,177,"    175:             bias_tmp1 = bn(bias_tmp1, c)
    176: 
>>> 177:             out_tmp1 = tf.nn.relu(bias_tmp1)
    178: 
    179:         with tf.variable_scope('conv_%s' % (i * 2 + 3)):",TF graph-building op inside loop (line 166) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
Yingjun-Du/VID,https://github.com/Yingjun-Du/VID,DDN.py,181,"    179:         with tf.variable_scope('conv_%s' % (i * 2 + 3)):
    180:             kernel = create_kernel(name=('weights_%s' % (i * 2 + 3)), shape=[3, 3, 16, 16])
>>> 181:             biases = tf.Variable(tf.constant(0.0, shape=[16], dtype=tf.float32), trainable=True,
    182:                                  name=('biases_%s' % (i * 2 + 3)))
    183: ",TF graph-building op inside loop (line 166) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
Yingjun-Du/VID,https://github.com/Yingjun-Du/VID,DDN.py,184,"    182:                                  name=('biases_%s' % (i * 2 + 3)))
    183: 
>>> 184:             conv_tmp2 = tf.nn.conv2d(out_tmp1, kernel, [1, 1, 1, 1], padding='SAME')
    185:             bias_tmp2 = tf.nn.bias_add(conv_tmp2, biases)
    186: ",TF graph-building op inside loop (line 166) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
Yingjun-Du/VID,https://github.com/Yingjun-Du/VID,DDN.py,185,"    183: 
    184:             conv_tmp2 = tf.nn.conv2d(out_tmp1, kernel, [1, 1, 1, 1], padding='SAME')
>>> 185:             bias_tmp2 = tf.nn.bias_add(conv_tmp2, biases)
    186: 
    187:             bias_tmp2 = bn(bias_tmp2, c)",TF graph-building op inside loop (line 166) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
Yingjun-Du/VID,https://github.com/Yingjun-Du/VID,DDN.py,189,"    187:             bias_tmp2 = bn(bias_tmp2, c)
    188: 
>>> 189:             bias_tmp2 = tf.nn.relu(bias_tmp2)
    190:             conv_shortcut = tf.add(conv_shortcut, bias_tmp2)
    191: ",TF graph-building op inside loop (line 166) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
ischlag/TPR-RNN,https://github.com/ischlag/TPR-RNN,lib.py,84,"    82:       W2_w, W2_b = get_affine_vars(""W2_net""+str(idx), shape=[hidden_size, output_size], w_initializer=uniform_glorot_init(hidden_size, output_size))
    83: 
>>> 84:       hidden = tf.nn.tanh(tf.einsum(equation, inputs, W1_w) + W1_b)
    85:       out = tf.nn.tanh(tf.einsum(equation, hidden, W2_w) + W2_b)
    86: ",TF graph-building op inside loop (line 80) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
ischlag/TPR-RNN,https://github.com/ischlag/TPR-RNN,lib.py,85,"    83: 
    84:       hidden = tf.nn.tanh(tf.einsum(equation, inputs, W1_w) + W1_b)
>>> 85:       out = tf.nn.tanh(tf.einsum(equation, hidden, W2_w) + W2_b)
    86: 
    87:       outputs.append(out)",TF graph-building op inside loop (line 80) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
jsikyoon/bmaml,https://github.com/jsikyoon/bmaml,bnn.py,45,"    43:             else:
    44:                 dim_output = self.dim_output
>>> 45:             params['w{}'.format(l + 2)] = tf.get_variable(name=scope + '_w{}'.format(l + 2),
    46:                                                           shape=[self.dim_hidden, dim_output],
    47:                                                           initializer=fc_initializer)            ",TF graph-building op inside loop (line 40) with no graph reset. New nodes added every iteration — unbounded graph expansion and memory growth.
